sound_path,sample_rate_hz,time_step,window_length,f_low1,f_high1,f_low2,f_high2,pitch_floor,pitch_ceiling,alpha_ratio_mean,elapsed_seconds,time_seconds,alpha_ratio
,,,,,,,,,,,,2.355669,4.523913
,,,,,,,,,,,,2.365669,4.403308
,,,,,,,,,,,,2.375669,4.389873
,,,,,,,,,,,,2.385669,4.531667
,,,,,,,,,,,,2.395669,4.792605
,,,,,,,,,,,,2.405669,4.640210
,,,,,,,,,,,,2.415669,4.494781
,,,,,,,,,,,,2.425669,4.500735
,,,,,,,,,,,,2.435669,4.255130
,,,,,,,,,,,,2.445669,3.842058
,,,,,,,,,,,,2.455669,3.569533
,,,,,,,,,,,,2.465669,2.616280
,,,,,,,,,,,,2.475669,2.509092
,,,,,,,,,,,,2.485669,2.513696
,,,,,,,,,,,,2.495669,2.343946
,,,,,,,,,,,,2.505669,2.474600
,,,,,,,,,,,,2.515669,2.749461
,,,,,,,,,,,,2.525669,2.521263
,,,,,,,,,,,,2.535669,2.711043
,,,,,,,,,,,,2.545669,2.509838
,,,,,,,,,,,,2.555669,2.612017
,,,,,,,,,,,,2.565669,2.576761
,,,,,,,,,,,,2.575669,2.331990
,,,,,,,,,,,,2.585669,2.377072
,,,,,,,,,,,,2.595669,2.146634
,,,,,,,,,,,,2.605669,2.060791
,,,,,,,,,,,,2.615669,2.218669
,,,,,,,,,,,,2.625669,2.140729
,,,,,,,,,,,,2.635669,2.007939
,,,,,,,,,,,,2.645669,2.100564
,,,,,,,,,,,,2.655669,2.206087
,,,,,,,,,,,,2.665669,1.880326
,,,,,,,,,,,,2.675669,1.683633
,,,,,,,,,,,,2.685669,1.369279
,,,,,,,,,,,,2.695669,1.085285
